,adi,aza,pga,tka,ama,yst,kgo,pan,ype,jpi,ech,rga,evu,tar,kda,mbe,siv,eiv,ofa,epo,ani,ekl,mbo,ago,ian,npo,rmc,ndo,ake,cmo,epa,sgo,kkn,ase,ecl,aha,sjo,tsw,est,jal,pcr,rwi,ewa,eol,mcy,kst,ero,owi,jla,kpe
tar,4269.520699094923,5764.947874872764,6069.2391615424085,5901.72974643875,5335.332042150704,5169.279253435628,6178.088458414949,5057.1099454134865,5560.535046198343,6147.18374542359,6183.032427539096,7130.17762752093,7795.804063725563,0.0,6975.391960313054,7616.600094530368,6042.56063271193,5268.20168558494,5194.570338343682,6345.549148812891,5251.40933464532,4931.62964951749,5288.652758500978,6504.8003043905965,6265.150995786135,6169.327110795795,6026.095916926646,6483.044038104323,6759.481710900622,4553.457367759141,6055.27340423205,4794.334260353568,6469.194462991509,6307.291732590145,5773.808015512813,7167.500540634789,4920.205991622708,6732.633957078017,5451.798694009161,5207.419610517286,5154.333807583673,6236.692633118935,6164.674200637046,6517.354447933609,7057.883110395071,5033.247460636125,5644.989813985496,5480.689920073932,7012.805572664909,5885.411965189863
kda,6455.451029943609,5819.767091559593,4759.084470777967,5996.5465894963245,5017.028901650857,5968.155577730862,5956.337801031772,6080.0215460144545,5331.503446496119,5743.587990098175,5726.856118325307,5148.906485847262,5164.865922751529,6975.391960313054,0.0,4909.492845498402,4707.261836779425,5080.525563364483,6258.636752520472,4493.769130696413,5625.667871462018,5542.121254537833,5687.45804380129,4982.084102060101,5618.651795582282,4536.319653639942,3786.3957796300165,4998.459462674475,5655.169847139871,5877.389301382034,5008.674175867302,6016.248831290142,6060.0016501647915,5649.382090105077,4728.982342957098,5743.982329360006,6150.281294379957,5357.637259090989,5522.379921736642,5893.427355961894,7083.709339039822,5317.006300541688,6094.856438013942,4468.383376569204,5693.130509658109,5635.901081459823,5056.094441364797,5263.066881581499,3824.2490766162186,5593.389044219971
mbe,6621.374328642053,5885.779047840651,4912.085809511068,5475.646902421668,5275.513908615918,5691.523609719984,5553.927079103578,5415.253825999294,5284.530537332526,5137.813640061306,4529.927703617354,4399.645212968882,4690.493790636547,7616.600094530368,4909.492845498402,0.0,5247.345233544292,4861.160149593922,5827.03663966514,4070.37651821057,5542.758067965803,6150.549243766771,5435.834710511349,4818.845089852962,5584.9426138502085,4399.447010704868,4749.567453989889,4952.897434835492,4800.757648538405,6120.974513915247,4597.12769019961,5531.8179651901055,5442.510817628202,4823.908166621749,4644.815389227004,4564.741285111348,6383.3406614405285,4967.422168489406,6049.631393729704,5691.063872423152,7108.551751235972,4765.113639778174,5140.948453349829,3866.5791082040464,4356.644695175405,6464.709196862609,5273.899980090635,5115.703568425363,4253.983192256405,5283.959216345259
siv,5224.166536396021,5766.02419349763,4830.58723138295,5397.219932520816,4385.2499358645455,5219.759668797023,5613.893301444195,5340.261791335702,5419.074921054331,5094.636493411478,4969.363037653819,4798.623969431237,6098.779386073905,6042.56063271193,4707.261836779425,5247.345233544292,0.0,3599.534692151195,5270.489161358744,4314.589088198319,4490.420804334489,4700.515290901626,4237.759903533942,5782.775631130781,4443.66740429569,4196.240221912944,3823.0622542668593,4969.661054840662,4542.752689724591,4521.783387116194,5383.459389649001,4981.010540041047,5070.048717714653,4680.852272823829,4996.336457845889,6014.720691769486,4582.193143026601,4680.9696645032855,5638.972956133058,4192.451788631564,6346.985268613754,4304.875375664202,5669.672918255515,4552.078426389422,5460.266568584358,4928.8149691381195,4119.0784163450935,4738.809871687194,4224.8752644308925,3708.9911027124344
eiv,4898.938660567205,5196.898594354137,4943.030548155655,4405.634006587474,3812.488032768103,4166.431206680365,5185.350325677138,4580.4023840706395,4911.095702590207,4876.118230724108,4661.087319499604,4614.014954462112,6148.0138256188075,5268.20168558494,5080.525563364483,4861.160149593922,3599.534692151195,0.0,4810.615968875503,3948.890603701247,3810.175980187792,4236.953622592534,3969.1010317199034,5281.28507088947,4348.135692454871,4119.803878827243,3730.3250528606754,4802.038004847525,4630.174510750107,4142.031989253584,4623.607357897078,4539.105198164061,5050.331672276584,4361.134714727349,3990.1536311275036,5775.440502680293,3736.113220982469,4853.360588293435,5338.932102958418,3617.43721438258,5832.939396222114,3841.3638203117393,5249.872284160825,4171.749752801575,5013.432456910135,4445.062316773523,3723.757376629149,3900.4795858970983,4497.588131432223,3372.0381077324732
ofa,4555.136002360413,4621.129407406808,5374.251668837253,5215.495661967327,4536.438801527031,4710.845677795018,4855.224608604632,3932.4035906808954,4869.251995943525,4294.856342184218,4129.497427048478,5218.669945493775,6252.154348702534,5194.570338343682,6258.636752520472,5827.03663966514,5270.489161358744,4810.615968875503,0.0,4721.427432461501,4376.67944908009,4732.39643309814,4112.673947689022,5357.882417522804,5793.882981213894,4755.840199165653,5549.7499943691155,5063.2877658691295,5342.6195821899955,4621.771846380996,4819.636604558481,3824.4798339120575,4956.046004629094,4901.865971239932,5053.0396792425845,5122.104547937302,4988.179226932409,5226.498732421161,5453.439098403868,4073.867695446184,5322.657231120561,4532.134155119418,4731.11371666334,5332.451968841351,5434.192212279577,5035.176958161451,4714.534653600502,4404.627680065592,5947.470638851444,5200.474497581928
epo,5153.931412038775,4748.503553752487,4223.864581162611,4865.894367945116,3872.4323105769067,4952.190222517709,4883.490247763376,4547.5502196237485,4521.583572156994,4168.062619491218,3881.9438429735173,3796.706862532318,4701.04935094283,6345.549148812891,4493.769130696413,4070.37651821057,4314.589088198319,3948.890603701247,4721.427432461501,0.0,4063.2870929827245,4610.313546820867,4151.86560476131,4064.4471948839487,4698.9280692515395,3469.8329930992354,3831.609322464909,3706.095249720385,4322.67637002818,4807.524518918234,3916.5050746807415,4357.433992615379,4739.883437385354,4094.255854242624,3868.682333818583,4417.265217303575,5135.669673956844,4173.642773405506,5283.817843188767,4286.466260219483,5964.694040770239,3577.700797998625,4528.59713377112,3983.3268758664535,4600.791453652295,4674.175649245543,3833.9274901854888,3621.9732191168946,3842.274847014461,4373.132287045522
ani,4489.830620413202,4966.770983244546,4458.392311136381,5186.675042838138,3678.950937427679,4310.287693414443,4996.213466216191,4211.375665978992,4966.544070075287,4660.801647785496,4916.795501136894,5073.790397720426,5977.966962103421,5251.40933464532,5625.667871462018,5542.758067965803,4490.420804334489,3810.175980187792,4376.67944908009,4063.2870929827245,0.0,3645.2704975076954,3604.2006048498465,4600.964572782537,4521.094668329784,4008.8286319073304,4638.5372694417365,4403.31556897754,4509.108892009595,3953.3282180967467,4525.90919042793,4336.921604087397,5284.5848465134895,4583.703851690247,4382.948436840205,5558.281928797783,4411.413718979438,5081.374617168075,5041.546687277625,3785.1276068317698,5338.092262222525,3899.5424090526312,4902.336993720444,4798.009691528353,5458.89329443249,4082.846800946614,3989.521525195722,4237.5056342145435,5331.139277865474,4281.122749933714
ekl,4902.5746297226315,4940.260418237079,4040.9054678376233,5375.962146444113,3719.2497899442033,4789.608439110654,5893.204730874365,4431.82874217856,5168.300978077806,5185.488308732361,5406.853521226555,5343.835888198663,6129.276955726507,4931.62964951749,5542.121254537833,6150.549243766771,4700.515290901626,4236.953622592534,4732.39643309814,4610.313546820867,3645.2704975076954,0.0,4024.135310846294,4922.9787730600665,4958.974490759153,4075.02294472068,4843.160022134309,4773.62179063235,5146.920438475808,3332.1385025235672,4708.7400650280115,4667.147522845191,5445.542213590856,5298.578111153973,4517.777993660157,5927.317352732179,4204.189101360689,5508.158766774974,4811.893182521823,4060.2586124531526,5748.5342479626925,4368.489441443117,5441.353599978594,5222.3827894937,6120.308407261843,3781.2575950336945,4175.57552919355,4904.136723216432,5551.015852976822,4695.13865609952
mbo,4316.4956851594325,4964.875627848093,4634.907334564522,5612.73694377351,3999.8242461388227,4226.832147128627,5072.024349310638,3923.434592292829,4898.027562192765,4278.9302401418045,4439.988513498655,4706.349009582694,5727.517699667108,5288.652758500978,5687.45804380129,5435.834710511349,4237.759903533942,3969.1010317199034,4112.673947689022,4151.86560476131,3604.2006048498465,4024.135310846294,0.0,5187.525132469239,5114.599984358503,3849.672323717955,4655.709612937645,4630.869680740325,4203.90901423901,3939.7175025628426,4758.550199377958,4163.757317615906,4493.275753834834,4137.7040735170995,5157.329832384196,5190.587827982492,4173.935912301481,4324.863003610634,5095.862537392468,3411.879687210556,5684.960597928538,3934.3994459129335,5100.812680348103,4854.802261678636,5521.871421900369,4628.558738959678,4411.267844962489,4270.515425566333,5235.000668576844,4559.865787498575
